Chapter,Article Number,Paragraph Num,Title,Content,Links,Source
1,1,1,Subject-matter and objectives,This Regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data.,https://gdpr-info.eu/art-1-gdpr/,
1,1,2,Subject-matter and objectives,This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data.,https://gdpr-info.eu/art-1-gdpr/,
1,1,3,Subject-matter and objectives,The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons connected with the protection of natural persons with regard to the processing of personal data.,https://gdpr-info.eu/art-1-gdpr/,
1,2,1,Material scope,This Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system.,https://gdpr-info.eu/art-2-gdpr/,
1,2,2,Material scope,"This Regulation does not apply to the processing of personal data:in the course of an activity which falls outside the scope of Union law;by the Member States when carrying out activities which fall within the scope ofChapter 2 of Title V of the TEU;by a natural person in the course of a purely personal or household activity;by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.",https://gdpr-info.eu/art-2-gdpr/,http://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:12012M/TXT
1,2,2.1,Material scope,in the course of an activity which falls outside the scope of Union law;,https://gdpr-info.eu/art-2-gdpr/,
1,2,2.2,Material scope,by the Member States when carrying out activities which fall within the scope ofChapter 2 of Title V of the TEU;,https://gdpr-info.eu/art-2-gdpr/,http://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:12012M/TXT
1,2,2.3,Material scope,by a natural person in the course of a purely personal or household activity;,https://gdpr-info.eu/art-2-gdpr/,
1,2,2.4,Material scope,"by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.",https://gdpr-info.eu/art-2-gdpr/,
1,2,3,Material scope,in the course of an activity which falls outside the scope of Union law;,https://gdpr-info.eu/art-2-gdpr/,
